=== Bump-family DE Ablation ===
popsize=15 maxiter=20 seed=42
output=results_bump_opt_baseline

  eval 49: rowp=4247.2 feas=True
  eval 50: rowp=4263.1 feas=True
  eval 51: rowp=4267.0 feas=False
  eval 52: rowp=4265.0 feas=True
  eval 53: rowp=4266.4 feas=True
  eval 54: rowp=4256.0 feas=True
  eval 55: rowp=4241.3 feas=True
  eval 56: rowp=4267.5 feas=True
  eval 57: rowp=4263.6 feas=False
  eval 58: rowp=4253.0 feas=True
  eval 59: rowp=4259.0 feas=False
  eval 60: rowp=4260.7 feas=True
  eval 61: rowp=4260.6 feas=True
  eval 62: rowp=4259.3 feas=True
  eval 63: rowp=4261.2 feas=True
  eval 64: rowp=4260.1 feas=True
  eval 65: rowp=4264.1 feas=True
  eval 66: rowp=4223.1 feas=True
  eval 67: rowp=4257.9 feas=True
  eval 68: rowp=4255.4 feas=False
  eval 69: rowp=4260.8 feas=True
  eval 70: rowp=4246.9 feas=True
  eval 71: rowp=4259.8 feas=True
  eval 72: rowp=4258.8 feas=True
  eval 73: rowp=4264.7 feas=False
  eval 74: rowp=4260.8 feas=True
  eval 75: rowp=4272.5 feas=True
  eval 76: rowp=4261.0 feas=True
  eval 77: rowp=4263.2 feas=True
  eval 78: rowp=4268.1 feas=True
  eval 79: rowp=4261.7 feas=False
  eval 80: rowp=4266.9 feas=True
  eval 81: rowp=4266.2 feas=False
  eval 82: rowp=4267.2 feas=True
  eval 83: rowp=4266.5 feas=False
  eval 84: rowp=4259.4 feas=True
  eval 85: rowp=4255.0 feas=True
  eval 86: rowp=4262.1 feas=True
  eval 87: rowp=4261.6 feas=True
  eval 88: rowp=4256.1 feas=True
  eval 89: rowp=4181.2 feas=False
  eval 90: rowp=4263.3 feas=True
  eval 91: rowp=4258.5 feas=True
  eval 92: rowp=4269.1 feas=True
  eval 93: rowp=4263.8 feas=True
  eval 94: rowp=4261.3 feas=True
  eval 95: rowp=4265.7 feas=True
  eval 96: rowp=4266.5 feas=True
  eval 97: rowp=4258.6 feas=True
  eval 98: rowp=4268.3 feas=True
  eval 99: rowp=4260.6 feas=False
  eval 100: rowp=4264.1 feas=True
  eval 101: rowp=4269.2 feas=True
  eval 102: rowp=4244.2 feas=True
  eval 103: rowp=4253.7 feas=True
  eval 104: rowp=4268.2 feas=True
  eval 105: rowp=4263.7 feas=False
  eval 106: rowp=4263.3 feas=True
  eval 107: rowp=4265.1 feas=True
  eval 108: rowp=4259.9 feas=True
  eval 109: rowp=4248.7 feas=True
  eval 110: rowp=4264.0 feas=True
  eval 111: rowp=4272.9 feas=True
  eval 112: rowp=4262.2 feas=True
  eval 113: rowp=4266.4 feas=True
  eval 114: rowp=4267.1 feas=False
  eval 115: rowp=4265.5 feas=True
  eval 116: rowp=4266.0 feas=True
  eval 117: rowp=4240.3 feas=True
  eval 118: rowp=4263.3 feas=True
  eval 119: rowp=4266.3 feas=True
  eval 120: rowp=4264.2 feas=True
  eval 121: rowp=4263.0 feas=True
  eval 122: rowp=4265.5 feas=True
  eval 123: rowp=4259.7 feas=True
  eval 124: rowp=4264.0 feas=True
  eval 125: rowp=4268.2 feas=True
  eval 126: rowp=4271.0 feas=True
  eval 127: rowp=4260.5 feas=False
  eval 128: rowp=4248.9 feas=False
  eval 129: rowp=4260.7 feas=True
  eval 130: rowp=4253.4 feas=True
  eval 131: rowp=4263.2 feas=True
  eval 132: rowp=3992.3 feas=False
  eval 133: rowp=3865.8 feas=False
  eval 134: rowp=4264.0 feas=False
  eval 135: rowp=4228.2 feas=True
  eval 136: rowp=4264.0 feas=True
  eval 137: rowp=4265.6 feas=True
  eval 138: rowp=4265.4 feas=True
  eval 139: rowp=4258.2 feas=False
  eval 140: rowp=4261.5 feas=True
  eval 141: rowp=4265.4 feas=True
  eval 142: rowp=4252.2 feas=True
  eval 143: rowp=4259.1 feas=False
  eval 144: rowp=4266.5 feas=True
  eval 145: rowp=4261.8 feas=True
  eval 146: rowp=4263.6 feas=True
  eval 147: rowp=4259.2 feas=True
  eval 148: rowp=4256.6 feas=False
  eval 149: rowp=4215.2 feas=True
  eval 150: rowp=4263.4 feas=False
  eval 151: rowp=4265.7 feas=False
  eval 152: rowp=4264.6 feas=True
  eval 153: rowp=4263.2 feas=True
  eval 154: rowp=4254.6 feas=True
  eval 155: rowp=4264.0 feas=True
